,student_id,gender,age,prior_education,course_of_studies,year_of_study,nationality,parent_one_nationality,parent_two_nationality,parent_one_occupation,parent_two_occupation,previous_international_experience,languages
215,10000215,I would rather not say,21,Gymnasium,International business,0,USA,Spain,Chinese,Engineer,Life coach,Worked in a foreign country,['English']
216,10000216,Female,18,HAVO,International business,1,USA,German,Chinese,,Taxi driver,Gap year,['English']
217,10000217,Male,24,VWO,International business,2,British,Dutch,British,Engineer,Doctor,Internship in a foreign country,['English']
218,10000218,I would rather not say,20,HAVO,International business,2,South-African,Korean,Spain,,Engineer,Exchange student,"['Dutch', 'English']"
219,10000219,I would rather not say,23,HAVO,International business,3,Belgium,South-African,Dutch,Engineer,Doctor,Internship in a foreign country,"['English', 'English', 'French', 'German']"
220,10000220,I would rather not say,20,HAVO,International business,2,German,Korean,USA,Marine,Engineer,,"['English', 'German']"
221,10000221,I would rather not say,20,MBO,International business,1,USA,German,Korean,Politician,Politician,Gap year,['English']
222,10000222,I would rather not say,18,MBO,International business,4,Spain,Chinese,Chinese,Engineer,Gardener,,"['English', 'Spanish']"
223,10000223,I would rather not say,18,MBO,International business,1,British,Chinese,Belgium,Politician,Gardener,Internship in a foreign country,['English']
224,10000224,Female,20,VWO,International business,0,Japanese,Korean,British,Life coach,Engineer,Internship in a foreign country,"['English', 'Japanese']"
225,10000225,I would rather not say,19,HAVO,International business,4,German,Chinese,Spain,Life coach,Politician,Internship in a foreign country,"['English', 'German']"
226,10000226,I would rather not say,20,VWO,International business,0,German,Spain,USA,Life coach,Engineer,Internship in a foreign country,"['English', 'German']"
227,10000227,I would rather not say,20,VWO,International business,2,Belgium,Japanese,Chinese,Doctor,,Exchange student,"['English', 'French']"
228,10000228,I would rather not say,21,MBO,International business,1,Spain,South-African,Dutch,Doctor,Marine,Exchange student,"['English', 'Spanish']"
229,10000229,I would rather not say,18,HAVO,International business,2,Korean,Spain,German,Taxi driver,Doctor,,"['English', 'Korean']"
230,10000230,I would rather not say,18,MBO,International business,3,Korean,Chinese,Belgium,Gardener,Doctor,Exchange student,"['English', 'Korean']"
231,10000231,I would rather not say,21,VWO,International business,4,Chinese,Chinese,USA,Taxi driver,,Exchange student,"['English', 'Mandarin']"
232,10000232,I would rather not say,23,Gymnasium,International business,4,USA,Japanese,Spain,Taxi driver,,Worked in a foreign country,"['English', 'Spanish']"
233,10000233,Male,22,MBO,International business,0,USA,Japanese,Belgium,Marine,Doctor,Gap year,['English']
234,10000234,I would rather not say,23,VWO,International business,0,German,Japanese,Korean,Politician,Life coach,Internship in a foreign country,"['English', 'German', 'French']"
235,10000235,I would rather not say,23,MBO,International business,2,Japanese,German,USA,Marine,Gardener,Exchange student,"['English', 'Japanese']"
236,10000236,I would rather not say,22,VWO,International business,2,British,Belgium,Japanese,Gardener,Politician,Internship in a foreign country,['English']
237,10000237,I would rather not say,21,HAVO,International business,4,Japanese,Japanese,Dutch,Doctor,Doctor,Internship in a foreign country,"['English', 'Japanese']"
238,10000238,I would rather not say,20,HAVO,International business,2,USA,Japanese,German,Gardener,Engineer,,['English']
239,10000239,Female,17,VWO,International business,3,South-African,Korean,Korean,Doctor,Politician,Internship in a foreign country,"['Dutch', 'English']"
240,10000240,I would rather not say,24,MBO,International business,4,Korean,Japanese,Chinese,Gardener,Taxi driver,Worked in a foreign country,"['English', 'Korean']"
241,10000241,I would rather not say,22,MBO,International business,4,British,USA,German,Engineer,Taxi driver,,['English']
242,10000242,I would rather not say,20,VWO,International business,3,Spain,British,Japanese,Gardener,Life coach,Gap year,"['English', 'Spanish']"
243,10000243,I would rather not say,24,Gymnasium,International business,4,German,Belgium,Japanese,Engineer,Politician,Exchange student,"['English', 'German']"
244,10000244,I would rather not say,23,MBO,International business,2,Spain,Japanese,German,Taxi driver,Taxi driver,Internship in a foreign country,"['English', 'Spanish']"
245,10000245,Male,18,Gymnasium,International business,1,German,USA,Spain,Life coach,,Internship in a foreign country,"['English', 'German']"
246,10000246,I would rather not say,23,Gymnasium,International business,3,Chinese,British,Dutch,Life coach,Doctor,Gap year,"['English', 'Mandarin']"
247,10000247,I would rather not say,19,HAVO,International business,4,British,Chinese,Korean,Gardener,Taxi driver,Gap year,['English']
248,10000248,Female,18,HAVO,International business,2,Japanese,Korean,British,Gardener,Gardener,Internship in a foreign country,"['English', 'Japanese']"
249,10000249,I would rather not say,18,MBO,International business,0,Spain,Dutch,Dutch,Politician,Life coach,Exchange student,"['English', 'Spanish']"
250,10000250,I would rather not say,23,HAVO,International business,2,German,Korean,German,Taxi driver,Life coach,Internship in a foreign country,"['English', 'German']"
251,10000251,Female,20,Gymnasium,International business,0,USA,USA,South-African,Doctor,Engineer,Internship in a foreign country,['English']
252,10000252,I would rather not say,18,VWO,International business,2,Chinese,South-African,Belgium,Life coach,Doctor,Worked in a foreign country,"['English', 'Mandarin']"
253,10000253,I would rather not say,24,Gymnasium,International business,1,South-African,Chinese,Dutch,Gardener,Taxi driver,Gap year,"['Dutch', 'English']"
254,10000254,I would rather not say,21,VWO,International business,4,USA,Belgium,Dutch,Politician,Engineer,Gap year,['English']
255,10000255,I would rather not say,24,VWO,International business,3,Korean,USA,Korean,Politician,Taxi driver,Internship in a foreign country,"['English', 'Korean']"
256,10000256,I would rather not say,21,HAVO,International business,3,South-African,British,Japanese,Marine,Politician,Gap year,"['Dutch', 'English']"
257,10000257,I would rather not say,21,HAVO,International business,4,Belgium,British,Japanese,Life coach,Life coach,Worked in a foreign country,"['English', 'English', 'French']"
258,10000258,I would rather not say,19,MBO,International business,0,Spain,USA,Dutch,Taxi driver,Doctor,Internship in a foreign country,"['English', 'Spanish']"
259,10000259,I would rather not say,23,HAVO,International business,1,USA,German,German,Life coach,Politician,Worked in a foreign country,['English']
260,10000260,I would rather not say,20,VWO,International business,1,Dutch,Chinese,German,Taxi driver,Politician,,"['Dutch', 'English']"
261,10000261,Female,18,HAVO,International business,0,Belgium,South-African,Belgium,,Gardener,,"['English', 'French']"
262,10000262,I would rather not say,21,Gymnasium,International business,1,South-African,South-African,Japanese,Marine,Marine,Gap year,"['Dutch', 'English']"
263,10000263,Male,19,HAVO,International business,3,Korean,Belgium,Spain,Engineer,Marine,Internship in a foreign country,"['English', 'Korean']"
264,10000264,I would rather not say,18,MBO,International business,1,South-African,Dutch,British,Engineer,Taxi driver,Worked in a foreign country,"['Dutch', 'English']"
265,10000265,I would rather not say,24,MBO,International business,0,British,Japanese,German,Doctor,Marine,,['English']
266,10000266,I would rather not say,23,HAVO,International business,4,Spain,German,Japanese,Life coach,,Worked in a foreign country,"['English', 'Spanish']"
267,10000267,I would rather not say,22,HAVO,International business,4,South-African,British,German,,Engineer,Exchange student,"['Dutch', 'English']"
268,10000268,I would rather not say,18,MBO,International business,2,South-African,Dutch,Japanese,Gardener,Engineer,Gap year,"['Dutch', 'English']"
269,10000269,I would rather not say,22,VWO,International business,0,South-African,Japanese,Belgium,Taxi driver,Taxi driver,Exchange student,"['Dutch', 'English']"
270,10000270,Male,20,VWO,International business,2,Chinese,South-African,Belgium,Politician,Engineer,Exchange student,"['English', 'Mandarin']"
271,10000271,I would rather not say,21,VWO,International business,0,South-African,Belgium,South-African,Marine,Gardener,Internship in a foreign country,"['Dutch', 'English']"
272,10000272,I would rather not say,23,Gymnasium,International business,2,Japanese,Spain,Dutch,Politician,Taxi driver,,"['English', 'Japanese']"
273,10000273,I would rather not say,18,MBO,International business,0,Korean,South-African,Korean,Doctor,Doctor,Gap year,"['English', 'Korean']"
274,10000274,I would rather not say,24,Gymnasium,International business,2,Dutch,Spain,Spain,Life coach,Doctor,Internship in a foreign country,"['Dutch', 'English', 'German']"
275,10000275,I would rather not say,22,VWO,International business,0,Korean,British,Japanese,Doctor,Engineer,Internship in a foreign country,"['English', 'Korean']"
276,10000276,I would rather not say,23,Gymnasium,International business,4,Belgium,South-African,Belgium,Engineer,Doctor,,"['English', 'English', 'French', 'German']"
277,10000277,I would rather not say,22,HAVO,International business,0,Spain,Korean,British,Life coach,Gardener,Exchange student,"['English', 'Spanish']"
278,10000278,I would rather not say,22,Gymnasium,International business,1,Korean,Spain,Chinese,Life coach,Life coach,Internship in a foreign country,"['English', 'Korean']"
279,10000279,I would rather not say,20,MBO,International business,1,Korean,Japanese,Chinese,Engineer,Doctor,Internship in a foreign country,"['English', 'Korean']"
280,10000280,I would rather not say,23,HAVO,International business,4,Spain,German,Chinese,Doctor,,Worked in a foreign country,"['English', 'Spanish']"
281,10000281,I would rather not say,20,VWO,International business,3,British,USA,German,,Gardener,Gap year,['English']
282,10000282,I would rather not say,17,VWO,International business,3,Korean,South-African,USA,Engineer,Doctor,,"['English', 'Korean']"
283,10000283,I would rather not say,17,Gymnasium,International business,1,German,South-African,Belgium,Marine,Engineer,,"['English', 'German']"
284,10000284,I would rather not say,22,MBO,International business,4,Chinese,Japanese,Belgium,Taxi driver,Life coach,Worked in a foreign country,"['English', 'Mandarin']"
285,10000285,I would rather not say,23,MBO,International business,1,British,Chinese,Korean,Doctor,,Worked in a foreign country,['English']
286,10000286,I would rather not say,23,HAVO,International business,0,USA,German,Japanese,,Politician,Internship in a foreign country,['English']
287,10000287,I would rather not say,24,VWO,International business,3,South-African,Spain,Korean,Life coach,Taxi driver,Internship in a foreign country,"['Dutch', 'English']"
288,10000288,I would rather not say,19,MBO,International business,0,South-African,Dutch,South-African,Politician,Marine,Gap year,"['Dutch', 'English']"
289,10000289,Male,18,HAVO,International business,0,Korean,Dutch,Japanese,Politician,Politician,Gap year,"['English', 'Korean']"
290,10000290,I would rather not say,24,HAVO,International business,1,British,Spain,USA,Gardener,Engineer,,['English']
291,10000291,I would rather not say,17,Gymnasium,International business,0,Korean,German,Korean,Engineer,Politician,,"['English', 'Korean']"
292,10000292,I would rather not say,21,HAVO,International business,3,Korean,Spain,Chinese,,,Gap year,"['English', 'Korean']"
293,10000293,I would rather not say,22,VWO,International business,4,Japanese,South-African,Chinese,Politician,Marine,Gap year,"['English', 'Japanese']"
294,10000294,I would rather not say,22,VWO,International business,4,USA,Korean,USA,Doctor,,Gap year,['English']
295,10000295,I would rather not say,24,VWO,International business,0,Chinese,Chinese,Dutch,Taxi driver,Engineer,,"['English', 'Mandarin']"
296,10000296,I would rather not say,21,HAVO,International business,1,South-African,Spain,Dutch,,Marine,Exchange student,"['Dutch', 'English']"
297,10000297,I would rather not say,21,HAVO,International business,0,Spain,Japanese,Spain,Taxi driver,Politician,Worked in a foreign country,"['English', 'Spanish']"
298,10000298,I would rather not say,21,HAVO,International business,1,Korean,Korean,Belgium,Doctor,Taxi driver,Exchange student,"['English', 'Korean']"
299,10000299,I would rather not say,23,MBO,International business,4,Dutch,USA,Japanese,Engineer,Engineer,Internship in a foreign country,"['Dutch', 'English', 'German']"
300,10000300,Male,18,Gymnasium,International business,4,USA,Belgium,Belgium,Life coach,Politician,Exchange student,['English']
301,10000301,I would rather not say,18,VWO,International business,4,German,Spain,Belgium,Taxi driver,Engineer,Worked in a foreign country,"['English', 'German']"
302,10000302,I would rather not say,20,Gymnasium,International business,4,USA,Dutch,Korean,Gardener,Doctor,,"['English', 'Spanish']"
303,10000303,I would rather not say,18,MBO,International business,0,German,Japanese,Chinese,Marine,Doctor,Exchange student,"['English', 'German']"
304,10000304,Male,23,MBO,International business,3,Korean,British,Spain,Gardener,Engineer,,"['English', 'Korean']"
305,10000305,I would rather not say,18,MBO,International business,3,Belgium,Belgium,South-African,Life coach,Marine,Worked in a foreign country,"['English', 'English', 'French', 'German']"
306,10000306,I would rather not say,21,HAVO,International business,1,Korean,German,Spain,Gardener,,Gap year,"['English', 'Korean']"
307,10000307,I would rather not say,23,HAVO,International business,2,German,Japanese,British,Life coach,Life coach,Gap year,"['English', 'German']"
308,10000308,I would rather not say,24,VWO,International business,4,Belgium,Belgium,German,Taxi driver,Doctor,Gap year,"['English', 'French']"
309,10000309,I would rather not say,20,Gymnasium,International business,4,Dutch,Japanese,Japanese,Engineer,Taxi driver,Internship in a foreign country,"['Dutch', 'English']"
310,10000310,I would rather not say,18,VWO,International business,1,USA,USA,German,Engineer,Taxi driver,Gap year,['English']
311,10000311,I would rather not say,21,MBO,International business,3,USA,Spain,Chinese,Doctor,Life coach,Gap year,['English']
312,10000312,I would rather not say,24,Gymnasium,International business,1,South-African,USA,Chinese,Taxi driver,Engineer,Exchange student,"['Dutch', 'English']"
313,10000313,I would rather not say,24,MBO,International business,0,German,Chinese,Dutch,Politician,,Exchange student,"['English', 'German']"
314,10000314,Male,18,VWO,International business,3,South-African,Spain,South-African,Gardener,Doctor,Internship in a foreign country,"['Dutch', 'English']"
315,10000315,I would rather not say,17,Gymnasium,International business,3,Japanese,Chinese,Dutch,Engineer,,Worked in a foreign country,"['English', 'Japanese']"
316,10000316,I would rather not say,18,MBO,International business,3,Belgium,South-African,Dutch,Taxi driver,Taxi driver,Gap year,"['English', 'French', 'German']"
317,10000317,I would rather not say,24,Gymnasium,International business,0,USA,Chinese,South-African,Engineer,Marine,Exchange student,['English']
318,10000318,I would rather not say,20,HAVO,International business,1,German,Dutch,Dutch,Engineer,Taxi driver,Worked in a foreign country,"['English', 'German']"
319,10000319,I would rather not say,21,HAVO,International business,4,British,Japanese,Korean,Engineer,Doctor,Internship in a foreign country,['English']
320,10000320,I would rather not say,22,Gymnasium,International business,0,Dutch,Belgium,USA,Engineer,Gardener,Worked in a foreign country,"['Dutch', 'English', 'German']"
321,10000321,I would rather not say,23,VWO,International business,1,Dutch,Korean,Japanese,Life coach,Life coach,Exchange student,"['Dutch', 'English', 'German']"
322,10000322,I would rather not say,18,HAVO,International business,4,Dutch,Japanese,Japanese,Taxi driver,Life coach,Exchange student,"['Dutch', 'English', 'German']"
323,10000323,I would rather not say,21,HAVO,International business,0,USA,Dutch,Japanese,Marine,Taxi driver,Gap year,['English']
324,10000324,I would rather not say,20,MBO,International business,2,German,Dutch,Spain,Life coach,Taxi driver,Internship in a foreign country,"['English', 'German']"
325,10000325,I would rather not say,21,VWO,International business,1,USA,Japanese,Korean,Taxi driver,Doctor,,"['English', 'Spanish']"
326,10000326,I would rather not say,22,MBO,International business,0,Korean,Korean,Korean,,Marine,Exchange student,"['English', 'Korean']"
327,10000327,I would rather not say,24,HAVO,International business,3,South-African,Spain,Korean,Gardener,Taxi driver,Exchange student,"['Dutch', 'English']"
328,10000328,I would rather not say,18,HAVO,International business,1,Dutch,Chinese,Spain,Marine,Politician,Gap year,"['Dutch', 'English', 'German']"
329,10000329,I would rather not say,23,HAVO,International business,0,Korean,USA,British,Engineer,,Internship in a foreign country,"['English', 'Korean']"
330,10000330,I would rather not say,23,Gymnasium,International business,2,South-African,Belgium,South-African,Politician,Taxi driver,Gap year,"['Dutch', 'English']"
331,10000331,I would rather not say,22,HAVO,International business,4,Japanese,Spain,Spain,Taxi driver,,,"['English', 'Japanese']"
332,10000332,I would rather not say,21,HAVO,International business,4,Dutch,South-African,Japanese,Life coach,Life coach,Gap year,"['Dutch', 'English', 'German']"
333,10000333,I would rather not say,22,MBO,International business,4,USA,South-African,British,Marine,Engineer,Gap year,['English']
334,10000334,I would rather not say,19,Gymnasium,International business,3,South-African,German,Korean,Engineer,Doctor,Gap year,"['Dutch', 'English']"
335,10000335,I would rather not say,18,HAVO,International business,1,Chinese,Belgium,Belgium,Life coach,Politician,Gap year,"['English', 'Mandarin']"
336,10000336,I would rather not say,22,VWO,International business,0,Spain,German,Dutch,Taxi driver,Gardener,Internship in a foreign country,"['English', 'Spanish']"
337,10000337,I would rather not say,22,Gymnasium,International business,1,Korean,Korean,USA,Politician,Politician,Internship in a foreign country,"['English', 'Korean']"
338,10000338,I would rather not say,23,VWO,International business,1,USA,South-African,Chinese,Politician,Gardener,Gap year,['English']
339,10000339,I would rather not say,24,HAVO,International business,3,Spain,South-African,Korean,Life coach,Marine,,"['English', 'Spanish']"
340,10000340,I would rather not say,20,MBO,International business,0,German,German,German,Marine,Engineer,Worked in a foreign country,"['English', 'German']"
341,10000341,I would rather not say,24,Gymnasium,International business,4,USA,British,Korean,Doctor,Marine,Gap year,['English']
342,10000342,I would rather not say,22,MBO,International business,4,German,South-African,Korean,Engineer,Life coach,Internship in a foreign country,"['English', 'German']"
343,10000343,I would rather not say,23,HAVO,International business,4,USA,Dutch,Korean,Life coach,Gardener,Internship in a foreign country,['English']
344,10000344,I would rather not say,23,HAVO,International business,4,USA,South-African,South-African,Taxi driver,Engineer,,['English']
345,10000345,I would rather not say,17,VWO,International business,3,Belgium,USA,South-African,Taxi driver,Taxi driver,Internship in a foreign country,"['English', 'French']"
346,10000346,I would rather not say,18,Gymnasium,International business,2,Korean,Belgium,Spain,Gardener,Engineer,,"['English', 'Korean']"
347,10000347,I would rather not say,20,MBO,International business,3,USA,German,Belgium,Gardener,Engineer,Gap year,['English']
348,10000348,I would rather not say,21,HAVO,International business,4,South-African,British,USA,,Marine,Gap year,"['Dutch', 'English']"
349,10000349,I would rather not say,22,Gymnasium,International business,2,Dutch,South-African,USA,,Gardener,Worked in a foreign country,"['Dutch', 'English', 'German']"
350,10000350,I would rather not say,21,MBO,International business,0,British,Japanese,British,Gardener,Life coach,,['English']
351,10000351,I would rather not say,22,Gymnasium,International business,3,Korean,Chinese,Belgium,Doctor,Life coach,Exchange student,"['English', 'Korean']"
352,10000352,Female,23,VWO,International business,0,Belgium,German,Belgium,Taxi driver,Politician,Exchange student,"['English', 'English', 'French', 'German']"
353,10000353,I would rather not say,18,MBO,International business,3,South-African,Japanese,British,Marine,Doctor,Exchange student,"['Dutch', 'English']"
354,10000354,I would rather not say,19,HAVO,International business,1,South-African,British,Dutch,Doctor,Doctor,Exchange student,"['Dutch', 'English']"
355,10000355,I would rather not say,20,VWO,International business,4,Japanese,German,USA,Gardener,Taxi driver,Internship in a foreign country,"['English', 'Japanese']"
356,10000356,I would rather not say,19,Gymnasium,International business,1,Belgium,USA,South-African,Doctor,Doctor,Gap year,"['English', 'French']"
357,10000357,I would rather not say,23,VWO,International business,0,Japanese,Korean,South-African,Life coach,Doctor,,"['English', 'Japanese']"
358,10000358,I would rather not say,20,Gymnasium,International business,3,Dutch,Belgium,British,Gardener,Gardener,Worked in a foreign country,"['Dutch', 'English', 'German']"
359,10000359,Male,19,Gymnasium,International business,4,Spain,South-African,Korean,Engineer,Marine,Exchange student,"['English', 'Spanish']"
360,10000360,I would rather not say,17,Gymnasium,International business,3,Chinese,USA,Belgium,Doctor,Gardener,Gap year,"['English', 'Mandarin']"
361,10000361,I would rather not say,22,Gymnasium,International business,1,USA,British,South-African,Gardener,Doctor,Internship in a foreign country,['English']
362,10000362,I would rather not say,18,VWO,International business,2,Spain,British,Chinese,Gardener,Marine,,"['English', 'Spanish']"
363,10000363,I would rather not say,24,VWO,International business,3,Japanese,Korean,Chinese,Life coach,Engineer,Gap year,"['English', 'Japanese']"
364,10000364,I would rather not say,19,VWO,International business,3,Belgium,South-African,Korean,Life coach,Engineer,Worked in a foreign country,"['English', 'English', 'French']"
365,10000365,Male,17,HAVO,International business,2,Spain,German,Japanese,Marine,Gardener,,"['English', 'Spanish']"
366,10000366,I would rather not say,17,Gymnasium,International business,3,Chinese,Korean,German,,Marine,Exchange student,"['English', 'Mandarin']"
367,10000367,I would rather not say,19,MBO,International business,3,German,Chinese,Japanese,Doctor,Taxi driver,Internship in a foreign country,"['English', 'German']"
368,10000368,Male,21,HAVO,International business,3,German,British,Spain,Doctor,Marine,,"['English', 'German']"
369,10000369,I would rather not say,17,VWO,International business,3,Japanese,Belgium,Dutch,Taxi driver,Doctor,Exchange student,"['English', 'Japanese']"
370,10000370,I would rather not say,23,HAVO,International business,0,Spain,South-African,British,,Politician,,"['English', 'Spanish']"
371,10000371,I would rather not say,24,MBO,International business,4,German,Chinese,British,Doctor,Doctor,Gap year,"['English', 'German']"
372,10000372,I would rather not say,23,VWO,International business,0,German,Japanese,British,Politician,Taxi driver,,"['English', 'German']"
373,10000373,Female,22,HAVO,International business,1,Spain,Spain,USA,Politician,Engineer,,"['English', 'Spanish']"
374,10000374,I would rather not say,19,MBO,International business,3,German,Spain,British,Doctor,Doctor,Exchange student,"['English', 'German']"
375,10000375,I would rather not say,18,MBO,International business,2,South-African,Japanese,Korean,Doctor,,Gap year,"['Dutch', 'English']"
376,10000376,I would rather not say,23,Gymnasium,International business,4,South-African,Korean,Dutch,,Engineer,,"['Dutch', 'English']"
377,10000377,I would rather not say,24,Gymnasium,International business,2,Japanese,Spain,Belgium,Gardener,Engineer,Gap year,"['English', 'Japanese']"
378,10000378,Female,23,VWO,International business,2,Chinese,USA,Chinese,Engineer,Taxi driver,Exchange student,"['English', 'Mandarin']"
379,10000379,I would rather not say,17,Gymnasium,International business,4,Chinese,German,Chinese,Life coach,Doctor,Gap year,"['English', 'Mandarin']"
380,10000380,I would rather not say,19,MBO,International business,1,Chinese,Korean,Dutch,Marine,Marine,Internship in a foreign country,"['English', 'Mandarin']"
381,10000381,I would rather not say,20,MBO,International business,4,British,Dutch,Belgium,Marine,Life coach,Internship in a foreign country,['English']
382,10000382,Male,18,Gymnasium,International business,2,South-African,USA,USA,Gardener,Taxi driver,Internship in a foreign country,"['Dutch', 'English']"
383,10000383,Male,22,MBO,International business,3,Chinese,Chinese,Belgium,Taxi driver,Taxi driver,Internship in a foreign country,"['English', 'Mandarin']"
384,10000384,I would rather not say,17,Gymnasium,International business,0,Chinese,Spain,Dutch,Politician,Engineer,Exchange student,"['English', 'Mandarin']"
385,10000385,I would rather not say,17,MBO,International business,1,German,South-African,British,Taxi driver,,Exchange student,"['English', 'German']"
386,10000386,I would rather not say,18,MBO,International business,3,Chinese,Spain,German,Marine,Gardener,,"['English', 'Mandarin']"
387,10000387,I would rather not say,19,HAVO,International business,3,British,Spain,Japanese,Marine,Life coach,Worked in a foreign country,['English']
388,10000388,I would rather not say,20,VWO,International business,1,Belgium,Korean,Spain,Gardener,Politician,Internship in a foreign country,"['English', 'French']"
389,10000389,I would rather not say,17,HAVO,International business,4,USA,Korean,South-African,Politician,Life coach,Worked in a foreign country,['English']
390,10000390,I would rather not say,24,Gymnasium,International business,0,South-African,Korean,USA,Politician,Marine,,"['Dutch', 'English']"
391,10000391,I would rather not say,23,VWO,International business,3,South-African,Korean,USA,Taxi driver,Gardener,Internship in a foreign country,"['Dutch', 'English']"
392,10000392,I would rather not say,19,Gymnasium,International business,2,Japanese,Belgium,Japanese,Marine,Life coach,,"['English', 'Japanese']"
393,10000393,I would rather not say,20,HAVO,International business,0,Dutch,Chinese,Dutch,Politician,Engineer,Exchange student,"['Dutch', 'English', 'German']"
394,10000394,I would rather not say,17,HAVO,International business,4,British,USA,Korean,Politician,Taxi driver,Worked in a foreign country,['English']
395,10000395,I would rather not say,17,Gymnasium,International business,0,British,South-African,Chinese,Engineer,Engineer,Internship in a foreign country,['English']
396,10000396,I would rather not say,18,Gymnasium,International business,4,Spain,USA,German,Doctor,,Exchange student,"['English', 'Spanish']"
397,10000397,I would rather not say,21,HAVO,International business,1,Japanese,British,Spain,Engineer,,Gap year,"['English', 'Japanese']"
398,10000398,I would rather not say,18,Gymnasium,International business,1,Dutch,German,Korean,Politician,Marine,,"['Dutch', 'English']"
399,10000399,I would rather not say,17,MBO,International business,3,Belgium,German,Belgium,,Marine,,"['English', 'English', 'French']"
400,10000400,I would rather not say,19,MBO,International business,0,Spain,British,South-African,Life coach,Engineer,Exchange student,"['English', 'Spanish']"
401,10000401,I would rather not say,22,Gymnasium,International business,3,British,Dutch,South-African,Engineer,Doctor,Worked in a foreign country,['English']
402,10000402,I would rather not say,24,HAVO,International business,1,Dutch,South-African,Korean,Gardener,Gardener,Exchange student,"['Dutch', 'English', 'German']"
403,10000403,I would rather not say,19,HAVO,International business,1,German,Korean,Dutch,Gardener,Doctor,,"['English', 'German', 'French']"
404,10000404,I would rather not say,21,VWO,International business,1,German,USA,Belgium,Engineer,,,"['English', 'German']"
405,10000405,I would rather not say,19,VWO,International business,1,Dutch,Chinese,Spain,Doctor,,Internship in a foreign country,"['Dutch', 'English']"
406,10000406,I would rather not say,21,VWO,International business,2,Korean,Chinese,Japanese,Taxi driver,Doctor,Exchange student,"['English', 'Korean']"
407,10000407,I would rather not say,17,Gymnasium,International business,4,Chinese,Korean,British,Life coach,Engineer,Gap year,"['English', 'Mandarin']"
408,10000408,Female,22,VWO,International business,4,Chinese,Belgium,Chinese,Gardener,Engineer,Gap year,"['English', 'Mandarin']"
409,10000409,I would rather not say,18,VWO,International business,2,Belgium,Chinese,Dutch,Taxi driver,Life coach,Internship in a foreign country,"['English', 'English', 'French']"
410,10000410,Female,17,VWO,International business,2,Chinese,Japanese,Chinese,Politician,Politician,Internship in a foreign country,"['English', 'Mandarin']"
411,10000411,I would rather not say,22,HAVO,International business,2,South-African,Dutch,Chinese,Doctor,Life coach,Worked in a foreign country,"['Dutch', 'English']"
412,10000412,I would rather not say,20,VWO,International business,3,USA,Belgium,South-African,Doctor,Politician,Worked in a foreign country,['English']
413,10000413,Male,22,VWO,International business,3,Korean,South-African,German,Taxi driver,Life coach,,"['English', 'Korean']"
414,10000414,I would rather not say,20,HAVO,International business,4,Spain,Japanese,Spain,Politician,,Internship in a foreign country,"['English', 'Spanish']"
415,10000415,I would rather not say,20,HAVO,International business,4,Chinese,Chinese,Dutch,Doctor,Doctor,Exchange student,"['English', 'Mandarin']"
416,10000416,Female,21,HAVO,International business,3,Korean,British,Korean,Gardener,Life coach,Gap year,"['English', 'Korean']"
417,10000417,I would rather not say,19,Gymnasium,International business,2,Spain,Japanese,Korean,Doctor,Engineer,,"['English', 'Spanish']"
418,10000418,I would rather not say,22,Gymnasium,International business,2,German,Belgium,Spain,Doctor,Gardener,,"['English', 'German']"
419,10000419,I would rather not say,18,Gymnasium,International business,2,USA,Japanese,South-African,Politician,Marine,Internship in a foreign country,['English']
420,10000420,I would rather not say,22,Gymnasium,International business,1,Belgium,German,Spain,Politician,Engineer,Gap year,"['English', 'French']"
421,10000421,I would rather not say,24,MBO,International business,3,German,German,British,Taxi driver,Engineer,Internship in a foreign country,"['English', 'German']"
422,10000422,I would rather not say,24,Gymnasium,International business,2,Korean,Chinese,Japanese,Politician,Taxi driver,Internship in a foreign country,"['English', 'Korean']"
423,10000423,I would rather not say,22,MBO,International business,1,Dutch,Spain,Dutch,Politician,Doctor,Gap year,"['Dutch', 'English', 'German']"
424,10000424,I would rather not say,20,Gymnasium,International business,2,Dutch,Japanese,Belgium,Engineer,Politician,Internship in a foreign country,"['Dutch', 'English']"
425,10000425,Male,23,MBO,International business,0,Spain,Japanese,USA,,Doctor,,"['English', 'Spanish']"
426,10000426,I would rather not say,23,HAVO,International business,4,Japanese,Dutch,Spain,Politician,Life coach,Worked in a foreign country,"['English', 'Japanese']"
427,10000427,I would rather not say,19,MBO,International business,4,Japanese,Belgium,Belgium,,Marine,Internship in a foreign country,"['English', 'Japanese']"
428,10000428,I would rather not say,24,HAVO,International business,3,Dutch,Korean,Chinese,Taxi driver,Gardener,Gap year,"['Dutch', 'English', 'German']"
429,10000429,Male,21,Gymnasium,International business,0,Chinese,British,British,Doctor,Taxi driver,Gap year,"['English', 'Mandarin']"
430,10000430,I would rather not say,18,Gymnasium,International business,3,Dutch,Japanese,Belgium,Doctor,Engineer,Exchange student,"['Dutch', 'English']"
431,10000431,I would rather not say,21,VWO,International business,1,USA,British,Dutch,Life coach,Life coach,Gap year,['English']
432,10000432,Female,19,MBO,International business,4,Spain,German,Dutch,Engineer,Politician,Worked in a foreign country,"['English', 'Spanish']"
433,10000433,I would rather not say,17,HAVO,International business,3,South-African,South-African,South-African,,Marine,,"['Dutch', 'English']"
434,10000434,I would rather not say,21,VWO,International business,1,South-African,Dutch,Chinese,Gardener,,,"['Dutch', 'English']"
